YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,UGM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,UGM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2008,Parliament,Jirapa,Upper West,34258,20873,20413,,6944,,432,12791,,127,119,,,,,,,,,,,,,,,,,,,,,,,Justin Bayelah Dakorah,,Abu Arthur,Edward Kojo Salia,,Angsiema Joycelyn,Muonaah Elizabeth,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Lambussie,Upper West,18875,12167,11755,,6513,,261,4716,124,,141,,,,,,,,,,,,,,,,,,,,,,,John Duoghr Baloroo,,Amoah T.Basing,Alice Teni Boon,Baloroo Balisosie David,,Bele-Irs Vitus,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Lawra,Upper West,48036,32654,31314,,14742,,566,13783,1428,507,288,,,,,,,,,,,,,,,,,,,,,,,Ambrose P. Dery,,Fatchu Henry,Benjamine Kunbour,Bede Ziedeng,Ngmenkye C.Yelvele,Dabuo Wilson,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Nadowli East,Upper West,15648,10452,10124,,4676,,165,4789,428,,66,,,,,,,,,,,,,,,,,,,,,,,Robert Ekor Dassh,,Jonas Banoebara Tingani,Mathias Asoma Puozaa,,,George Tiesaah Azaadong,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Nadowli West,Upper West,32956,21621,21006,,3676,,471,12997,844,,87,,,,,,,,,,,,,,,,,,,2931,,,,WG CDR Eric Kwesi Dakurah,,Clement K.Senchi,Alban Sumana Kinsford Bagbin,Joachim Kakra Bonseu,,Emmanuel Kwesi Nasaal,,,,,,,,,,,,,,,,,,,Ishak Gaaba Dapilaa,,,
2008,Parliament,Sissala East,Upper West,27105,19677,18974,,5126,,6798,7050,,,,,,,,,,,,,,,,,,,,,,,,,,Issah Baworun Ahmed,,Moses Dani Baah,Alhassan Dubie Halutie,,,,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Sissala West,Upper West,23151,17018,16352,,4555,,6001,5527,72,,197,,,,,,,,,,,,,,,,,,,,,,,George Hikah Benson,,Bayirga Haruna,Robert Bakah Wavei,Ibrahim Lious,,J.B. Adunah,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Wa Central,Upper West,62896,45094,44202,,17309,,806,25428,210,58,391,,,,,,,,,,,,,,,,,,,,,,,Hon Eledi Clement N.Lugri,,Ibrahim Yusif,Hon.Abdul-Rashid Pelpuo,Ibrahim Yusif,Sala Seidu,Issakaque Suleman,,,,,,,,,,,,,,,,,,,,,,
2008,Parliament,Wa East,Upper West,32298,21937,20914,,10047,,371,9037,,,140,,,,,,,,,,,,,,,,,,,1319,,,,Bayon Godrey Tangu,,,Ameen Salifu,,,Yakubu Sangu,,,,,,,,,,,,,,,,,,,Adam Basuglo Surajdeen,,,
2008,Parliament,Wa West,Upper West,33611,22212,21066,,4455,,243,10468,,118,241,,,,,,,,,,,,,,,,,,,5541,,,,Dari Daniel Kuusongno,,Iddrisu Ibrahim,Joseph Yiele Chireh,,Kanda Al-Hassan,Zoyaari John,,,,,,,,,,,,,,,,,,,Edward B. Yirimanbo,,,
