YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,GUM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,LPG,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,GUM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,LPG_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2020,Presidential First Round,Bia West,Western North,,48603,46788,1815,"16,308",0,15,"29,605",,,40,,,656,,,,,41,16,,,10,,,,,15,22,,40,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Bibiani- Anhwiaso- Bekwai,Western North,,75251,73617,1634,"42,878",14,72,"29,673",,,36,,,881,,,,,12,17,,,31,,,,,18,27,,18,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Bodi,Western North,,28947,27965,982,"4,285",5,12,"15,423",,,19,,,181,,,,,0,11,,,4,,,,,21,16,,1,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Juaboso,Western North,,42734,41524,1210,"16,877",21,27,"23,952",,,33,,,502,,,,,15,34,,,27,,,,,22,12,,13,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Sefwi Akontombra,Western North,,33339,32516,823,"11,922",0,0,"11,626",,,0,,,0,,,,,0,0,,,0,,,,,0,0,,0,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Sefwi Wiawso,Western North,,65487,63784,1713,"32,232",0,0,"30,533",,,28,,,603,,,,,13,22,,,0,,,,,0,0,,0,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Suaman,Western North,,17583,17212,371,"7,499",3,3,"9,508",,,16,,,134,,,,,10,4,,,1,,,,,13,7,,0,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Ahanta West,Western,,55266,53603,1663,"32,498",12,25,"18,259",,,86,,,"2,540",,,,,20,23,,,16,,,,,42,39,,39,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Amenfi Central,Western,,50416,48740,1676,"19,330",6,28,"28,321",,,41,,,873,,,,,14,18,,,36,,,,,31,0,,36,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Amenfi East,Western,,68561,66711,1850,"30,955",0,0,"34,350",,,0,,,"1,195",,,,,0,0,,,0,,,,,0,0,,0,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Amenfi West,Western,,61057,59333,1724,"23,847",0,0,"34,219",,,37,,,1018,,,,,0,21,,,0,,,,,0,0,,0,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Effia,Western,,33268,33006,262,"21,299",16,20,"11,263",,,24,,,337,,,,,4,8,,,8,,,,,7,6,,5,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Ellembele,Western,,58168,57060,1108,"25,000",13,0,"30,606",,,251,,,1000,,,,,5,14,,,14,,,,,17,10,,23,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Essikado- Ketan,Western,,52456,51377,1079,"33,561",70,8,"16,830",,,43,,,759,,,,,12,32,,,25,,,,,14,13,,10,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Evalue Ajomoro Gwira,Western,,39056,37774,1282,"16,341",0,0,"19,942",,,0,,,"1,274",,,,,0,0,,,0,,,,,0,0,,0,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Jomoro,Western,,56032,53759,2264,"25,699",304,25,"24,485",,,237,,,"2,732",,,,,18,48,,,77,,,,,31,34,,68,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Kwesimintsim,Western,,39003,38516,487,"26,116",25,6,"11,651",,,30,,,674,,,,,7,15,,,0,,,,,2,6,,0,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Mpohor,Western,,22278,21717,561,"11,739",6,22,"9,254",,,18,,,614,,,,,5,10,,,6,,,,,13,15,,19,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
2020,Presidential First Round,Prestea Huni- Valley,Western,,,"96,820",,"37,572",40,29,"56,810",,,64,,,"2,074",,,,,22,35,,,41,,,,,50,41,,42,,,,Nana Addo Dankwa,Bridget Dzogbenuku,David Asibi Ayindenaba Apasera,John Dramani Mahama,,,Ivory Kobina Greenstreet,,,Christian Kwabena Andrews,,,,,Henry Herbert Lartey,Akua Donkor,,,Nana Kunadu Agyeman Rawlings,,,,,Hassan Ayariga,Percival Kofi Akpaloo,,Alfred Kwame Asiedu Walker,,,
