YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DFP,DPP,CPP,RPD,NRP,UGM,UFP,URP,YPP,EGLE,GCPP,GFP,GNP,NVP,NDP,NCP,PCP,IPC,IPP,APC,UPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DFP_C,DPP_C,CPP_C,RPD_C,NRP_C,UGM_C,UFP_C,URP_C,YPP_C,EGLE_C,GCPP_C,GFP_C,GNP_C,NVP_C,NDP_C,NCP_C,PCP_C,IPC_C,IPP_C,APC_C,UPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2016,Parliament,Adansi Asokwa,Ashanti,41307,30624,30289,335,16468,,80,12389,,,,,,,,,,,,,,,,,,,,,,1352,,,,KOBINA TAHIR HAMMOND,,ALEXANDER ODOI LARBI,AMANKWAH EVANS,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Afigya Kwabre North,Ashanti,33353,25262,25136,126,17629,197,68,6689,,,204,,,,,,,,,,,,,,,,,,,,,,,NANA MARFO AMANIAMPONG,FRANCIS BOADU,JOYCE ODURO,KWAKU AGYEKUM ASARE,,,FRANK OPOKU,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Afigya Kwabre South,Ashanti,76418,59186,58968,218,48184,283,266,8217,,,,,,,,,,,,,,,,,,,,,,2018,,,,WILLIAM OWURAKU AIDOO,BROBBEY ISAAC,ROBERT DAMBO,OPPONG KYEKYEKU KAAKYIRE,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Afigya Sekyere East,Ashanti,65341,52056,51835,221,41694,,,10141,,,,,,,,,,,,,,,,,,,,,,,,,,NKANSAH-BOADU MAVIS,,,AWUDU SALIM,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Ahafo Ano North,Ashanti,50993,37478,36971,507,18895,878,,14479,,,102,,,,,,,,,,,,,,,,,,,2618,,,,SULEMANA ADAMU SANID,KYEI DANIEL,,ADUSEI KWASI,,,ABEKU YAWSON,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Ahafo and South East,Ashanti,33220,26042,25892,150,14198,,,11640,,,54,,,,,,,,,,,,,,,,,,,,,,,FRANCIS MANU-ADABOR,,,CHRIS BOADI-MENSAH,,,AWINI ZECHARIAH,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Ahafo and South West,Ashanti,34068,26365,26075,290,14949,628,,10174,,,112,,,,212,,,,,,,,,,,,,,,,,,,JOHNSON KWAKU ADU,PAUL AGYEMANG-BIOH,,JOSEPH DONKOR,,,SARFO ADAM,,,,PHILEMON OPPONG,,,,,,,,,,,,,,,,,,
2016,Parliament,Akrofuom,Ashanti,24176,17319,17158,161,9693,,,7155,,,,,,,,,,,,,,,310,,,,,,,,,,,KWABENA APPIAH PINKRAH,,,SAMUEL OPPONG,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Asante Akim Central,Ashanti,48167,36483,36309,174,27226,446,,7970,,,208,,,,,,,,,,,,,,,,,,,,,,,KWAME ANYIMADU-ANTWI,DENTEH GODWIN YAW,,NANA ASANTE YAMOAH AFRIFA,,,OFOSU PATRICK,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Asante Akim North,Ashanti,46959,36537,36186,351,23250,,,10661,,,74,,,,,,,,,,,,548,,,,,,,16531,,,,ANDY KWAME APPIAH-KUBI,,,MARY AWUSI,,,EMMANUEL IDDRISU ADAMA,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Asante Akim South,Ashanti,69606,49720,49332,388,32526,249,,16133,,,100,,,,,,,,,,,,,,,,,324,,,,,,KWAKU ASANTE-BOATENG,ACHEAMPONG STEPHEN,,DE-GRAFT FORKUO,,,KWASI AGYEMAN O.,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Asawase,Ashanti,103754,73210,72974,236,33490,278,,39095,,,111,,,,,,,,,,,,,,,,,,,,,,,ALHAJI ALIDU SEIDU,ISSA BABA KOMPO,,ALHAJI MOHAMMED-MUBARAK MUNTAKA,,,ELIAS MOHAMMED,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Asokwa,Ashanti,86948,67033,66806,227,55564,1071,,9812,,,369,,,,,,,,,,,,,,,,,,,,,,,PATRICIA APPIAGYEI,SARAH AMPONSAH-FORDJOUR,,DORCAS DUFIE OSEI-BOADU,,,PIOUS OWUSU-ANSAH,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Atwiwa Kwanwoma,Ashanti,81440,63202,62831,371,42264,858,75,5692,,,283,,,,,,,,,,,,,,,,,,,13659,,,,KOJO APPIAH-KUBI,DAVIS ABRAHAM KOFI ASUMAN,OBIBA JAMES ANNAN,KWABENA NKRUMA,,,JAMES SARFO,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Atwiwa Mponua,Ashanti,78722,57717,57023,694,33723,708,,22450,,,,,,,,,,,,,,,142,,,,,,,,,,,ISAAC KWAME ASIAMAH,ERIC NNISON ARTHUR,,STEPHEN YEBOAH,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Atwiwa Nwabiagya North,Ashanti,62068,48369,48014,355,34759,,,7790,,,,,,,,,,,,,,,,,,,,,,5467,,,,BENITO OWUSU BIO,,,DANIEL KWAKU OWUSU,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Atwiwa Nwabiagya South,Ashanti,75197,58313,58044,269,48264,,,9780,,,,,,,,,,,,,,,,,,,,,,,,,,EMMANUEL AGYEI ANHWERE,,,NANA ASARE BEDIAKO,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Bantama,Ashanti,76054,57529,57372,157,6486,,139,6344,,,173,,,,,,,,,,,,,,,,,,,,,,,DANIEL OKYEM ABOAGYE,,CYRIL SPIO QUANSAH,SAMUEL YAW ADUSEI,,,YAMOAH KYEI BAFFOUR MICHAEL,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Bekwai,Ashanti,73954,58283,57978,305,49894,,,7703,,,212,,,,,,,,,,,,,,,,,169,,,,,,JOSEPH OSEI OWUSU,,,JUANTUAH MARY,,,ERIC KARIKARI,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Bosome Freho,Ashanti,32604,25223,24925,298,16496,123,,4550,,,100,,,,,,,,,,,,,,,,,,,4655,,,,JOYCE ADWOA AKO DEI,BRIGHT BAFFUOR ASARE,,KWAME ADARKWAH,,,YEBOAH SAMUEL,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Bosomtwe,Ashanti,67650,54144,53878,266,46238,,190,7212,,,235,,,,,,,,,,,,,,,,,,,,,,,YAW OSEI ADUTWUM,,SULEIMAN MOHAMMED,VERONICA ANTWI ADJEI,,,ERIC OSEI BOATENG,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Effiduase-Asokore,Ashanti,39742,32175,32001,174,26574,,63,4973,,,219,,,,,,,,172,,,,,,,,,,,,,,,NANA AYEW AFRIYE,,LOVIA BERKO,KWESI OWUSU PREMPEH,,,MILLICENT OSEI,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Ejisu,Ashanti,84871,65293,65052,241,64508,859,,9485,,,200,,,,,,,,,,,,,,,,,,,,,,,KWABENA OWUSU-ADUOMI,ISAAC PRAH,,GLORIA KORSHOR HUZE,,,ALEX APPIAH KOREE,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Ejura Sekyedumase,Ashanti,63114,45865,45287,578,21795,,83,23277,,,132,,,,,,,,,,,,,,,,,,,,,,,MOHAMMED SALISU BAMBA,,LAARI SAMUEL,MUHAMMAD BAWAH BRAIMAH,,,ABDALLAI MAHAMAN SANI,,,,,,,,,,,,,,,,,,,,,,
2016,Parliament,Fomena,Ashanti,27337,20497,20389,108,14823,1093,,4180,,,293,,,,,,,,,,,,,,,,,,,,,,,ANDREW AMOAKO ASIAMAH,DAWUD SULEIMAN,,WILLIAM ADJEI-MENSAH,,,KWADWO OSEI,,,,,,,,,,,,,,,,,,,,,,
