District,DistrCode,Region,RegCode,Constituency,ConstCode,Atea_SQKM,Total Pop,Percent Male,Percent Female,Percent Age 18-29,Percent Age 30-49,Percent Age 50-64,Percent Age 65 and Above,Percent Edu-Basic,Percent Edu-Secondary,Percent Edu-Tertiary,Percent No Formal,Percent Literate,Percent Non-Literate,Percent Urban,Percent Rural,Percent Employed,Percent Unemployed,Percent Economically Active,Percent Akan,Percent Ga-Dangme,Percent Ewe,Percent Guan,Percent Gurma,Percent Mole-Dagbani,Percent Grusi,Percent Mande,Percent Others,Percent Christian,Percent Islam,Percent Traditionalist,Percent Other Religion,Percent No Religion
Nkoranza North,GH0404,Bono East,GH04,Nkoranza North,K0401,1386.936279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Techiman North,GH0411,Bono East,GH04,Techiman North,K1101,389.5753479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atebubu Amantin Municipal,GH0401,Bono East,GH04,Atebubu Amantin,K0601,2625.300781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sene West,GH0409,Bono East,GH04,Sene West,K0901,3263.587891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sene East,GH0408,Bono East,GH04,Sene East,K1001,4393.653809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pru West,GH0407,Bono East,GH04,Pru West,K0701,1569.530273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pru East,GH0406,Bono East,GH04,Pru East,K0801,1652.061401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kintampo South,GH0403,Bono East,GH04,Kintampo South,K0301,1514.061401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kintampo North Municipal,GH0402,Bono East,GH04,Kintampo North,K0201,4889.73584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biakoye,GH1001,Oti,GH10,Biakoye,L0201,1105.973022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jasikan Municipal,GH1002,Oti,GH10,Buem,L0101,555.8010864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadjebi,GH1003,Oti,GH10,Akan,L0301,689.8080444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krachi East Municipal,GH1004,Oti,GH10,Krachi East,L0401,2759.328857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krachi West Municipal,GH1006,Oti,GH10,Krachi West,L0501,929.074707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krachi Nchumuru,GH1005,Oti,GH10,Krachi Nchumuru,L0601,1195.165649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nkwanta South Municipal,GH1008,Oti,GH10,Nkwanta South,L0701,2732.794922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nkwanta North ,GH1007,Oti,GH10,Nkwanta North,L0801,1098.018921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guan,,Oti,,Guan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kpandai,GH0803,Northern,GH08,Kpandai,M0101,1133.295898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanumba South,GH0808,Northern,GH08,Wulensi,M0301,1789.046143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanumba North Municipal,GH0807,Northern,GH08,Bimbilla,M0201,2261.640625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zabzugu,GH0816,Northern,GH08,Zabzugu,M0401,1099.953369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tatale Sanguli,GH0813,Northern,GH08,Tatale Sanguli,M0501,1089.873657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saboba,GH0809,Northern,GH08,Saboba,M0801,1751.472778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yendi Municipal,GH0815,Northern,GH08,Yendi,M0601,1446.756348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mion,GH0805,Northern,GH08,Mion,M0701,2714.693604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nanton,GH0806,Northern,GH08,Nanton,M1201,476.7518311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMA Tamale South,GH0812,Northern,GH08,Tamale South,M1301,647.6174927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMA Tamale Central,GH0812,Northern,GH08,Tamale Central,M1302,647.6174927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMA Tamale North,GH0812,Northern,GH08,Tamale North,M1402,647.6174927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sagnarigu Municipal,GH0810,Northern,GH08,Sagnarigu,M1401,200.4716034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tolon,GH0814,Northern,GH08,Tolon,M1501,1354.191772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumbungu,GH0804,Northern,GH08,Kumbungu,M1601,1541.748779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Savelugu Municipal,GH0811,Northern,GH08,Savelugu,M1101,1546.682739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karaga,GH0802,Northern,GH08,Karaga,M1001,3120.905273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gushegu Municipal,GH0801,Northern,GH08,Gushegu,M0901,2674.227539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bole,GH1101,Savannah,GH11,Bole Bamboi,N0101,6169.34375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sawla Tuna Kalba,GH1106,Savannah,GH11,Sawla Tuna Kalba,N0201,4226.683105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Gonja,GH1105,Savannah,GH11,Daboya Mankarigu,N0401,4846.881348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Gonja Municipal,GH1107,Savannah,GH11,Damongo,N0301,4717.677246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Gonja,GH1102,Savannah,GH11,Yapei Kusawgu,N0501,7557.847656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Gonja Municipal,GH1103,Savannah,GH11,Salaga South,N0601,2254.479736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North East Gonja,GH1104,Savannah,GH11,Salaga North,N0701,6090.094238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mamprugu Moagduri,GH0904,Norh East,GH09,Yagaba Kubori,Q0201,2122.467529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Mamprusi Municipal,GH0905,Norh East,GH09,Walewale,Q0101,2612.113525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Mamprusi Municipal,GH0903,Norh East,GH09,Nalerigu Gambaga,Q0301,1707.534912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunkpurugu Nakpanduri,GH0901,Norh East,GH09,Bunkpurugu,Q0401,769.5142822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yunyoo Nasuan,GH0906,Norh East,GH09,Yunyoo,Q0501,487.9311523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chereponi,GH0902,Norh East,GH09,Chereponi,Q0601,1375.075439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Builsa South,GH1208,Upper East,GH12,Builsa South,R0101,1241.858032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Builsa North Municipal,GH1207,Upper East,GH12,Builsa North,R0201,816.5744019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasena Nankana Municipal,GH1210,Upper East,GH12,Navrongo Central,R0301,767.2897339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kasena Nankana West,GH1211,Upper East,GH12,Chiana Paga,R0401,873.1151123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolgatanga Municipal,GH1205,Upper East,GH12,Bolgatanga Central,R0501,325.2146912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talensi,GH1214,Upper East,GH12,Talensi,R0801,838.5971069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolgatanga East,GH1204,Upper East,GH12,Bolga East,R0601,71.82164001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bongo,GH1206,Upper East,GH12,Bongo,R0701,414.8935547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nabdam,GH1212,Upper East,GH12,Nabdam,R0901,245.0213776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawku West,GH1202,Upper East,GH12,Zebilla,R1001,1071.700317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binduri,GH1203,Upper East,GH12,Binduri,R1501,391.9190369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bawku Municipal,GH1201,Upper East,GH12,Bawku Central,R1101,247.2364044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garu,GH1209,Upper East,GH12,Garu,R1301,675.6593628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tempane,GH1215,Upper East,GH12,Tempane,R1401,385.7240295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pusiga,GH1213,Upper East,GH12,Pusiga,R1201,255.6421814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wa West,GH1311,Upper West,GH13,Wa West,P0201,1491.533447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wa East,GH1309,Upper West,GH13,Wa East,P0301,4298.143066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wa Municipal,GH1310,Upper West,GH13,Wa Central,P0101,579.565979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadowli Kaleo,GH1305,Upper West,GH13,Nadowli Kaleo,P0401,1131.735962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daffiama Bussie Issa,GH1301,Upper West,GH13,Daffiama Bussie Issa,P0501,1455.877075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sissala East Municipal,GH1307,Upper West,GH13,Sissala East,P1101,5095.354004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sissala West,GH1308,Upper West,GH13,Sissala West,P1001,2050.191895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jirapa Municipal,GH1302,Upper West,GH13,Jirapa,P0601,1188.209595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawra Municipal,GH1304,Upper West,GH13,Lawra,P0801,527.0980225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambussie Karni,GH1303,Upper West,GH13,Lambussie,P0701,811.4154663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nandom Municipal,GH1306,Upper West,GH13,Nandom,P0901,404.3361816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
