YEAR,OFFICE,CONSTITUENCY,REGION,REGISTERED_VOTERS,VOTES_CAST,VALID_VOTES,VOTES_REJECTED,NPP,PPP,PNC,NDC,DPP,CPP,UFP,URP,YPP,GCPP,GFP,NVP,NDP,IPC,IPP,IND1,IND2,IND3,IND4,NPP_C,PPP_C,PNC_C,NDC_C,DPP_C,CPP_C,UFP_C,URP_C,YPP_C,GCPP_C,GFP_C,NVP_C,NDP_C,IPC_C,IPP_C,IND1_C,IND2_C,IND3_C,IND4_C
2012,Presidential First Round,Fanteakwa North,Eastern,29770,,23273,,"11,996",224,20,"10,877",,24,13,,,94,,,,,,25,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Fanteakwa South,Eastern,24363,,19856,,"12,681",321,15,"6,746",,14,8,,,70,,,,,,1,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Kade,Eastern,62679,,50132,,"32,536",137,52,"17,040",,47,35,,,205,,,,,,80,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Lower Manya Krobo,Eastern,60674,,45087,,"13,965",596,51,"30,183",,66,48,,,74,,,,,,104,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Lower West Akim,Eastern,57271,,45584,,"26,677",143,42,"18,433",,46,29,,,180,,,,,,34,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Mpraeso,Eastern,41593,,32748,,"22,530",175,35,"9,785",,73,22,,,111,,,,,,17,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,New Juaben North,Eastern,34903,,29301,,"19,960",72,13,"9,159",,25,8,,,61,,,,,,3,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,New Juaben South,Eastern,77987,,65243,,"38,807",171,37,"26,063",,46,8,,,96,,,,,,15,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Nkwakaw,Eastern,65061,,52691,,"37,089",318,25,"15,073",,38,21,,,117,,,,,,10,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Nsawam, Adoagyiri",Eastern,58564,,47434,,"24,084",198,39,"22,919",,41,24,,,105,,,,,,24,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Ofoase, Ayirebi",Eastern,43647,,34785,,"21,393",160,44,"12,892",,55,39,,,178,,,,,,24,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Okere,Eastern,30017,,24916,,"15,050",107,7,"9,606",,44,13,,,76,,,,,,13,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Suhum,Eastern,60217,,48502,,"26,608",99,41,"21,520",,46,22,,,154,,,,,,12,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Upper Manya Krobo,Eastern,35602,,26144,,"8,112",95,53,"17,613",,72,26,,,130,,,,,,43,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Upper West Akim,Eastern,44552,,33632,,"14,059",117,50,"19,128",,47,20,,,168,,,,,,43,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Yilo Krobo,Eastern,55597,,43476,,"13,339",190,31,"29,700",,57,16,,,122,,,,,,21,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ablekuma Central,Greater Accra,122009,,95362,,"45,265",386,39,"49,438",,56,11,,,144,,,,,,23,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ablekuma North,Greater Accra,113496,,90335,,"54,854",457,17,"34,802",,104,14,,,77,,,,,,10,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ablekuma South,Greater Accra,77355,,61512,,"24,987",386,16,"35,981",,76,3,,,53,,,,,,10,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ablekuma West,Greater Accra,80540,,61991,,"36,383",301,14,"25,185",,59,7,,,36,,,,,,6,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ada,Greater Accra,34391,,26845,,"3,573",93,53,"22,794",,132,7,,,93,,,,,,100,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Adentan,Greater Accra,90507,,68345,,"31,419",297,11,"36,451",,85,12,,,43,,,,,,27,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Amasaman,Greater Accra,73711,,57523,,"22,200",206,35,"34,899",,54,14,,,87,,,,,,28,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Anyaa, Sowutuom",Greater Accra,105147,,81675,,"51,854",344,13,"29,312",,67,16,,,59,,,,,,10,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ashaiman,Greater Accra,125358,,94420,,"33,725",266,55,"60,178",,57,17,,,90,,,,,,32,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ayawaso Central,Greater Accra,85084,,66995,,"33,424",226,22,"33,206",,47,8,,,48,,,,,,14,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ayawaso East,Greater Accra,53521,,41970,,"14,283",164,48,"27,370",,56,5,,,41,,,,,,3,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ayawaso North,Greater Accra,51186,,40611,,"14,367",146,42,"25,979",,27,8,,,33,,,,,,9,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ayawaso West Wuogon,Greater Accra,82656,,63251,,"31,023",462,12,"31,537",,182,3,,,27,,,,,,5,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Bortianor-ngleshie Amanfro,Greater Accra,66402,,46764,,"22,732",228,25,"23,666",,34,9,,,55,,,,,,15,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Dadekotopong,Greater Accra,112416,,88659,,"35,242",453,33,"52,691",,139,15,,,66,,,,,,20,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Dome, Kwabenya",Greater Accra,125947,,99366,,"61,534",287,35,"37,278",,82,15,,,88,,,,,,47,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Domeabra, Obom",Greater Accra,31238,,20149,,"3,114",104,76,"16,431",,42,23,,,127,,,,,,232,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Korle Klottey,Greater Accra,95067,,74422,,"34,928",361,29,"38,928",,114,6,,,48,,,,,,8,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Kpone-Katamanso,Greater Accra,79442,,59574,,"23,650",194,33,"35,557",,73,7,,,47,,,,,,13,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Krowor,Greater Accra,87917,,66110,,"30,409",263,34,"35,284",,44,13,,,51,,,,,,12,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ledzokuku,Greater Accra,126429,,94931,,"40,662",392,27,"53,710",,33,5,,,91,,,,,,11,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Madina,Greater Accra,105737,,80765,,"34,657",295,25,"45,626",,92,6,,,59,,,,,,5,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Ningo Prampram,Greater Accra,51801,,38655,,"9,581",161,100,"28,490",,100,41,,,137,,,,,,45,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Odododiodioo,Greater Accra,97927,,73015,,"27,047",256,20,"45,555",,45,12,,,73,,,,,,7,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Okaikwei Central,Greater Accra,61981,,49485,,"26,401",191,17,"22,777",,35,11,,,41,,,,,,12,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Okaikwei North,Greater Accra,69900,,55341,,"28,094",208,21,"26,927",,32,7,,,46,,,,,,6,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Okaikwei South,Greater Accra,89645,,70515,,"39,690",374,18,"30,269",,92,6,,,61,,,,,,5,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Sege,Greater Accra,31519,,24490,,"5,375",167,51,"18,652",,86,28,,,101,,,,,,30,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Shai Osudoku,Greater Accra,40615,,30281,,"7,444",189,40,"22,444",,47,25,,,61,,,,,,31,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Tema- Central,Greater Accra,55904,,45059,,"27,998",292,17,"16,635",,85,0,,,29,,,,,,3,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Tema- East,Greater Accra,84784,,63395,,"30,701",297,26,"32,162",,97,17,,,74,,,,,,21,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Tema- West,Greater Accra,103964,,80768,,"40,952",412,17,"39,172",,143,3,,,54,,,,,,15,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Trobu,Greater Accra,100056,,78323,,"47,843",276,33,"29,979",,122,12,,,47,,,,,,11,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Weija / Gbawe,Greater Accra,78885,,61378,,"34,466",398,18,"26,386",,43,9,,,49,,,,,,9,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Bimbilla,Northern,46711,,51561,,"29,037",707,109,"21,069",,147,53,,,322,,,,,,117,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Bole Bamboi,Northern,34582,,22844,,"5,310",74,60,"17,022",,134,42,,,157,,,,,,45,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Bunkpurugu,Northern,35923,,27171,,"8,649",108,101,"17,393",,202,173,,,197,,,,,,348,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Chereponi,Northern,26844,,22374,,"11,353",81,56,"10,529",,183,29,,,113,,,,,,30,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Daboya, Mankarigu",Northern,20396,,15220,,"6,297",111,55,"8,515",,115,25,,,78,,,,,,24,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Damango,Northern,21142,,16970,,"5,973",25,21,"10,732",,135,13,,,55,,,,,,16,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Gushegu,Northern,44477,,36365,,"17,296",100,94,"18,363",,70,177,,,206,,,,,,59,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Karaga,Northern,38135,,30049,,"12,261",125,149,"17,012",,84,72,,,191,,,,,,155,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Kpandai,Northern,46711,,37897,,"14,374",128,72,"22,145",,168,72,,,384,,,,,,554,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Kumbungu,Northern,39478,,30445,,"6,161",396,83,"22,721",,706,74,,,237,,,,,,67,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Mion,Northern,32160,,24614,,"9,276",937,90,"13,642",,239,68,,,278,,,,,,84,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Nalerigu, Gamgaba",Northern,58160,,40327,,"18,344",188,149,"21,136",,73,70,,,304,,,,,,63,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Nanton,Northern,22190,,19413,,"8,352",193,33,"10,634",,45,28,,,94,,,,,,34,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Saboba,Northern,30121,,26108,,"12,374",66,58,"13,350",,89,26,,,94,,,,,,51,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Sagnarigu,Northern,49666,,37307,,"6,665",254,55,"30,040",,103,25,,,133,,,,,,32,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Salaga North,Northern,13274,,10732,,"3,486",29,24,"7,046",,32,18,,,47,,,,,,50,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Salaga South,Northern,43547,,32588,,"12,679",102,53,"19,399",,75,24,,,197,,,,,,59,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Savelugu,Northern,44022,,35263,,"13,279",384,78,"21,165",,96,66,,,165,,,,,,30,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Sawla Tuna Kalba,Northern,40696,,24094,,"7,335",256,149,"15,737",,134,67,,,311,,,,,,105,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Tamale Central,Northern,80751,,66272,,"22,993",184,31,"42,820",,104,16,,,104,,,,,,20,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Tamale North,Northern,38123,,30057,,"6,819",150,36,"22,651",,158,23,,,58,,,,,,162,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Tamale South,Northern,91380,,71201,,"16,611",502,115,"53,536",,117,45,,,221,,,,,,54,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Tatale, Sanguli",Northern,27108,,20523,,"8,892",61,87,"10,060",,331,45,,,733,,,,,,314,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Tolon,Northern,48340,,36996,,"18,176",169,79,"17,878",,161,67,,,250,,,,,,216,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Walewale,Northern,56236,,44304,,"23,546",129,"1,015","19,241",,27,60,,,225,,,,,,61,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Wulensi,Northern,36444,,30255,,"12,853","1,057",82,"15,861",,87,41,,,226,,,,,,48,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,"Yagaba, Kubori",Northern,20298,,14967,,"7,502",61,90,"7,080",,39,54,,,97,,,,,,44,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Yapei-Kusawgu,Northern,48254,,35256,,"13,345",139,110,"21,022",,174,38,,,346,,,,,,82,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
2012,Presidential First Round,Yendi,Northern,59148,,48741,,"26,989",235,113,"20,658",,83,285,,,262,,,,,,116,,,,Nana A. Akuffo-Addo,Papa Kwesi Nduom,Hassan Ayariga,John Dramani Mahama,,Abu Sakara Foster,Akwasi Addai Odike,,,Henry Herbert Lartey,,,,,,Jacob Osei Yeboah,,,
